iter	RMSE
0	76785.52368
1	74938.88928
2	72985.50293
3	71158.46655
4	69377.26999
5	67745.04889
6	66021.34319
7	64370.00988
8	62694.11179
9	61334.58675
10	59982.20457
11	58700.82321
12	57284.41071
13	55967.05531
14	54654.81267
15	53436.95869
16	52243.24194
17	51230.75737
18	50369.82014
19	49412.13489
20	48501.04772
21	47670.65416
22	46690.5652
23	45773.73919
24	44878.22681
25	44091.41922
26	43298.61784
27	42466.91076
28	41787.67239
29	41021.59128
30	40382.10435
31	39687.25383
32	39086.72657
33	38489.64335
34	37875.61513
35	37350.63634
36	36802.08671
37	36285.70435
38	35796.75824
39	35276.61939
40	34829.85255
41	34306.97479
42	33890.63654
43	33575.2351
44	33179.20776
45	32779.39102
46	32346.61419
47	32006.0385
48	31667.92785
49	31364.12427
50	31064.87092
51	30719.32237
52	30379.54777
53	30016.65669
54	29742.10056
55	29416.84962
56	29174.51262
57	28927.19351
58	28655.55588
59	28406.27199
60	28160.10131
61	27948.03293
62	27671.15032
63	27471.9007
64	27249.82299
65	27058.90945
66	26856.41971
67	26661.00442
68	26455.98361
69	26253.88163
70	26066.1424
71	25901.25183
72	25714.81131
73	25545.67135
74	25365.41657
75	25239.31736
76	25088.25085
77	24929.89023
78	24739.11146
79	24639.2254
80	24526.38233
81	24359.02925
82	24230.00404
83	24050.83211
84	23885.2203
85	23723.83481
86	23625.23813
87	23486.82829
88	23348.19735
89	23197.48965
90	23065.09178
91	22943.85506
92	22830.14292
93	22716.06996
94	22582.57388
95	22449.83262
96	22343.17281
97	22224.76361
98	22138.4829
99	22058.94731
100	22009.82863
101	21907.07945
102	21819.21367
103	21721.73107
104	21608.66143
105	21545.37353
106	21474.63125
107	21361.55823
108	21263.27476
109	21150.14369
110	21071.65332
111	21007.67459
112	20925.46016
113	20859.82503
114	20762.66317
115	20681.36621
116	20616.92485
117	20543.14598
118	20468.37546
119	20397.00098
120	20322.97566
121	20261.91408
122	20215.02269
123	20176.51562
124	20109.45715
125	20022.55669
126	19959.82097
127	19922.01161
128	19873.54385
129	19784.08703
130	19713.52769
131	19617.13181
132	19547.75955
133	19500.5803
134	19433.66626
135	19363.62005
136	19307.31311
137	19249.49043
138	19202.66881
139	19157.7888
140	19103.77857
141	19033.30293
142	18989.97514
143	18939.30372
144	18920.56063
145	18877.64272
146	18810.5911
147	18755.18641
148	18735.12596
149	18664.5735
150	18604.1104
151	18579.10394
152	18546.83149
153	18515.7494
154	18484.90677
155	18421.5166
156	18372.04075
157	18348.99235
158	18308.79761
159	18272.26826
160	18211.26572
161	18197.17772
162	18141.76793
163	18084.16096
164	18047.58612
165	17985.87715
166	17940.59945
167	17893.18477
168	17876.00583
169	17863.11833
170	17826.47013
171	17773.04777
172	17754.86939
173	17736.09397
174	17713.1101
175	17689.95275
176	17642.77351
177	17607.1906
178	17537.27658
179	17526.02297
180	17453.80721
181	17435.91756
182	17400.50617
183	17378.00789
184	17314.72019
185	17270.21783
186	17233.68593
187	17178.74414
188	17163.50829
189	17136.13831
190	17098.92879
191	17084.2686
192	17071.55129
193	17060.0362
194	17022.89424
195	16983.34546
196	16959.10428
197	16926.03175
198	16872.24005
199	16856.99856
200	16823.41981
201	16787.61016
202	16740.63723
203	16697.3943
204	16668.88071
205	16634.46781
206	16579.72796
207	16549.41823
208	16515.44434
209	16485.20636
210	16432.6685
211	16418.76642
212	16408.61335
213	16361.36711
214	16337.13996
215	16296.93769
216	16264.7188
217	16230.83649
218	16202.76536
219	16166.62534
220	16134.3809
221	16114.21244
222	16105.23457
223	16063.93555
224	16033.66376
225	15990.70982
226	15953.05898
227	15909.12045
228	15884.63231
229	15850.05275
230	15815.26889
231	15776.01081
232	15766.13395
233	15754.85788
234	15745.8682
235	15716.06742
236	15698.28458
237	15653.12923
238	15627.54387
239	15593.54704
240	15539.06491
241	15491.45426
242	15461.86273
243	15440.98647
244	15408.95356
245	15378.34187
246	15343.06551
247	15301.94688
248	15255.97129
249	15234.51157
250	15196.10621
251	15164.16521
252	15132.42382
253	15095.32293
254	15052.96887
255	15031.99937
256	15000.89917
257	14957.36912
258	14925.78365
259	14902.52398
260	14860.03268
261	14840.57119
262	14818.9487
263	14784.55225
264	14748.68817
265	14715.03783
266	14694.02247
267	14664.78433
268	14646.33415
269	14620.95247
270	14597.15094
271	14570.19063
272	14548.16521
273	14496.50237
274	14481.55053
275	14451.04093
276	14424.65303
277	14406.01232
278	14372.29896
279	14349.89381
280	14326.44842
281	14308.7438
282	14275.78756
283	14236.47479
284	14220.80912
285	14192.10264
286	14176.73824
287	14133.26211
288	14107.18368
289	14080.43607
290	14059.59768
291	14036.51426
292	13988.84391
293	13957.38331
294	13924.56976
295	13896.77448
296	13875.51557
297	13848.9468
298	13833.30434
299	13799.61449
300	13774.04501
301	13750.20937
302	13715.34077
303	13691.85752
304	13670.16164
305	13649.46019
306	13618.8371
307	13589.05738
308	13552.00973
309	13538.05886
310	13521.50547
311	13516.80935
312	13499.1716
313	13481.71859
314	13464.56267
315	13449.1813
316	13414.02183
317	13409.93974
318	13379.95831
319	13369.47841
320	13365.17595
321	13360.9576
322	13334.91843
323	13307.05469
324	13285.86379
325	13281.23603
326	13264.47625
327	13237.45983
328	13221.6318
329	13196.55957
330	13168.041
331	13164.52967
332	13133.90468
333	13130.48333
334	13100.80755
335	13094.68842
336	13058.11399
337	13037.06568
338	13033.9327
339	13016.76994
340	12996.01225
341	12988.59048
342	12957.76937
343	12954.70925
344	12930.49364
345	12920.30144
346	12917.73871
347	12907.19397
348	12890.30339
349	12863.12687
350	12846.45829
351	12832.9885
352	12807.24833
353	12796.10972
354	12766.33612
355	12737.25901
356	12718.60767
357	12712.38218
358	12676.53853
359	12672.62643
360	12670.3779
361	12651.30633
362	12648.69347
363	12623.48365
364	12607.06229
365	12580.41954
366	12556.18925
367	12519.07276
368	12489.42654
369	12467.00792
370	12440.42511
371	12438.10157
372	12416.60852
373	12401.92562
374	12378.52253
375	12361.34863
376	12335.67828
377	12317.31381
378	12291.40485
379	12288.85966
380	12268.06963
381	12258.73127
382	12256.57788
383	12229.77613
384	12202.98242
385	12175.62911
386	12153.44491
387	12145.19781
388	12125.53105
389	12108.66311
390	12106.60553
391	12090.57564
392	12072.32685
393	12044.19902
394	12042.20513
395	12040.3144
396	12021.50131
397	12005.09785
398	11980.93642
399	11960.78052
400	11947.71272
401	11920.8565
402	11894.20968
403	11872.58229
404	11850.51533
405	11829.86016
406	11800.41674
407	11778.01035
408	11753.39684
409	11731.77727
410	11701.22413
411	11682.29832
412	11669.54979
413	11657.60404
414	11635.32904
415	11609.41305
416	11584.4606
417	11568.61553
418	11555.18168
419	11538.68824
420	11511.45685
421	11494.61215
422	11474.16635
423	11460.48335
424	11441.84754
425	11418.06482
426	11396.26263
427	11374.37754
428	11362.5478
429	11342.86633
430	11341.17594
431	11319.33547
432	11304.16496
433	11291.59267
434	11270.20367
435	11254.12775
436	11215.6703
437	11189.14786
438	11172.00465
439	11162.8471
440	11147.2426
441	11142.47844
442	11121.59297
443	11119.97984
444	11100.56984
445	11086.63838
446	11071.87522
447	11065.33413
448	11040.71345
449	11014.97597
450	11010.1883
451	10994.75251
452	10966.13065
453	10943.49384
454	10925.16529
455	10898.29974
456	10875.79524
457	10849.96771
458	10819.78038
459	10803.06517
460	10798.96618
461	10779.78881
462	10741.05372
463	10723.27734
464	10702.20334
465	10682.59961
466	10665.34295
467	10650.91656
468	10632.21046
469	10618.54567
470	10594.10852
471	10577.20665
472	10565.24319
473	10546.29045
474	10533.68181
475	10512.46689
476	10495.2722
477	10483.39794
478	10470.96425
479	10452.7889
480	10434.6728
481	10416.65839
482	10405.06544
483	10388.96526
484	10382.32801
485	10355.21194
486	10343.64204
487	10320.18108
488	10304.32135
489	10280.22518
490	10255.35021
491	10240.68906
492	10228.97048
493	10211.46634
494	10200.42063
495	10188.43221
496	10177.44931
497	10155.07935
498	10143.57796
499	10131.92404
500	10111.58992
501	10099.28288
502	10086.97285
503	10078.73401
504	10069.97171
505	10052.81318
506	10037.68233
507	10026.85812
508	10005.22402
509	9994.942804
510	9980.301672
511	9967.401336
512	9953.342565
513	9929.858743
514	9918.057672
515	9897.277501
516	9881.664097
517	9872.451744
518	9856.018694
519	9838.015328
520	9823.02851
521	9808.447397
522	9804.728342
523	9792.581721
524	9773.100612
525	9762.331152
526	9747.375025
527	9729.636207
528	9717.05973
529	9713.550071
530	9700.721967
531	9688.210677
532	9677.001564
533	9673.738976
534	9659.895427
535	9647.78843
536	9636.690499
537	9620.450601
538	9606.378102
539	9586.828039
540	9577.410505
541	9560.174174
542	9544.642862
543	9537.944866
544	9522.293889
545	9506.646221
546	9491.210519
547	9486.735305
548	9472.082628
549	9457.247043
550	9439.38388
551	9427.695382
552	9410.263046
553	9388.968818
554	9372.969023
555	9357.398151
556	9340.690594
557	9328.229101
558	9325.051532
559	9312.972636
560	9293.107019
561	9278.441966
562	9268.590288
563	9256.803063
564	9244.474094
565	9234.43869
566	9224.645961
567	9213.366141
568	9197.828387
569	9192.780719
570	9182.056767
571	9179.512218
572	9164.111374
573	9145.198286
574	9140.82077
575	9136.016557
576	9123.826431
577	9110.714784
578	9100.267688
579	9090.421526
580	9084.770696
581	9064.270109
582	9047.539674
583	9027.528412
584	9013.059524
585	8990.304601
586	8979.300085
587	8967.990995
588	8946.937074
589	8935.851723
590	8928.357131
591	8920.045781
592	8910.310333
593	8901.232294
594	8883.80126
595	8862.238633
596	8850.651621
597	8848.921811
598	8825.591007
599	8810.038253
600	8794.768474
601	8787.207509
602	8774.189986
603	8756.726439
604	8751.977999
605	8743.702159
606	8731.044119
607	8728.704676
608	8723.434041
609	8709.059548
610	8701.067747
611	8687.927083
612	8675.124789
613	8658.791363
614	8651.156007
615	8640.074992
616	8633.226269
617	8619.659282
618	8604.265176
619	8595.121656
620	8593.959234
621	8571.526697
622	8563.809379
623	8550.606208
624	8543.650355
625	8526.319908
626	8512.936364
627	8500.07241
628	8479.547296
629	8462.61621
630	8446.077712
631	8431.733039
632	8426.925016
633	8420.407562
634	8408.538893
635	8398.37204
636	8392.358625
637	8379.365098
638	8361.182272
639	8343.726828
640	8328.039186
641	8312.663837
642	8298.4071
643	8277.048737
644	8259.731908
645	8249.039475
646	8235.304331
647	8225.731188
648	8217.813103
649	8204.663349
650	8189.490961
